symbol,entry_time,entry_price,shares,initial_stop,trail_pct,exit_time,exit_price,exit_reason,pnl,pnl_pct,rvol,change_pct
CNCK,2026-05-12T13:37:06.676144+00:00,2.255,221,2.155,0.0,2026-05-12T13:37:31.759784+00:00,2.155,stop_loss,-22.1,-4.43,0.0,0.0
CNCK,2026-05-12T13:37:47.576556+00:00,2.1799999999999997,229,2.08,0.0,2026-05-12T13:42:41.543055+00:00,2.155,manual_interrupt,-5.72,-1.15,0.0,0.0
UBXG,2026-05-12T13:42:53.457892+00:00,0.3988,1253,0.2988,0.0,2026-05-12T13:44:01.480639+00:00,0.403,manual_interrupt,5.26,1.05,0.0,0.0
SOXS,2026-05-12T13:44:13.012700+00:00,8.565000000000001,58,8.465,0.0,2026-05-12T13:53:54.758907+00:00,8.705,stop_loss,4.06,1.63,0.0,0.0
SOXS,2026-05-12T14:48:58.198233+00:00,9.215,54,9.115,0.0,2026-05-12T14:49:47.005845+00:00,9.245,manual_interrupt,1.62,0.33,0.0,0.0
